event,band,N,mjd_first,mjd_last,baseline_days,historical_zero_mjd,historical_time_days_verified,historical_time_days_max_error,event_common_zero_mjd,band_offset_from_event_zero_days,cadence_q25_days,cadence_median_days,cadence_q75_days,cadence_q90_days,publication_reference_mjd,publication_reference_type,publication_reference_provenance_status,delta_first_from_reference,delta_last_from_reference,N_pre_reference,N_post_reference,fraction_pre_reference,fraction_post_reference,redshift,redshift_provenance_status,baseline_rest_days
AT2020yue,g,168,58482.50486110011,60699.377465299796,2216.872604199685,58482.50486110011,True,0,56803.40296148,1679.1018996201092,1.9987789501901716,3.9372917003929615,8.45660874992609,29.983692139852792,59179.44,fitted_rest_frame_g_band_peak,PENDING_LITERATURE_VERIFICATION,-696.9351388998912,1519.937465299794,43,125,0.25595238095238093,0.7440476190476191,0.2042,REPOSITORY_RAW_JSON,1840.9505100479034
AT2020yue,r,230,58476.4469444002,60257.51686340012,1781.069918999914,58476.4469444002,True,0,56803.40296148,1673.0439829202005,0.05460650008171797,2.012696800287813,5.044294000137597,14.986861120164395,59179.44,fitted_rest_frame_g_band_peak,PENDING_LITERATURE_VERIFICATION,-702.9930555997998,1078.0768634001142,71,159,0.30869565217391304,0.691304347826087,0.2042,REPOSITORY_RAW_JSON,1479.0482635774076
AT2020zso,B,14,59173.046423,59341.692684,168.6462610000017,59173.046423,True,0,56806.59137009,2366.4550529100015,2.0586419999963255,4.048579999995127,5.217050999999628,6.781122400003371,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-10.953577000000223,157.69268400000146,5,9,0.35714285714285715,0.6428571428571429,0.0565,REPOSITORY_RAW_JSON,159.62731755797603
AT2020zso,U,15,59173.045444,59341.692298,168.6468539999987,59173.045444,True,0,56806.59137009,2366.454073910005,2.1583012500013865,4.181981000001542,5.433453999999983,16.462070500001587,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-10.954555999996956,157.69229800000176,5,10,0.3333333333333333,0.6666666666666666,0.0565,REPOSITORY_RAW_JSON,159.62787884524252
AT2020zso,UVM2,17,59173.053128,60411.751853,1238.698725000002,59173.053128,True,0,56806.59137009,2366.4617579100013,2.3575857499981794,5.367600500001572,9.609365249998518,59.92665299999862,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-10.94687200000044,1227.7518530000016,5,12,0.29411764705882354,0.7058823529411765,0.0565,REPOSITORY_RAW_JSON,1172.4550165641288
AT2020zso,UVW1,18,59173.044009,60411.742973,1238.698964000003,59173.044009,True,0,56806.59137009,2366.452638909999,2.4586969999945723,4.3851639999993495,7.132237999998324,50.77329059999905,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-10.955991000002541,1227.7429730000003,5,13,0.2777777777777778,0.7222222222222222,0.0565,REPOSITORY_RAW_JSON,1172.455242782776
AT2020zso,UVW2,18,59173.048803,60411.747556,1238.6987530000042,59173.048803,True,0,56806.59137009,2366.4574329099996,2.4573620000010123,4.385634000005666,7.13245299999835,50.77506280000383,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-10.95119700000214,1227.747556000002,5,13,0.2777777777777778,0.7222222222222222,0.0565,REPOSITORY_RAW_JSON,1172.4550430667339
AT2020zso,W1,10,56985.00447313,60454.79827351,3469.793800380001,56985.00447313,True,0,56806.59137009,178.41310304000217,201.1845707849934,364.10900625999784,527.4792737600073,730.9798859370028,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-2198.9955268699996,1270.7982735100013,5,5,0.5,0.5,0.0565,REPOSITORY_RAW_JSON,3284.234548395647
AT2020zso,W2,11,56806.59137009,60454.79827351,3648.206903420003,56806.59137009,True,0,56806.59137009,0,177.0553502775001,200.95438692250173,454.2825771400039,758.6445679330026,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-2377.4086299100018,1270.7982735100013,5,6,0.45454545454545453,0.5454545454545454,0.0565,REPOSITORY_RAW_JSON,3453.1063922574567
AT2020zso,g,162,58472.127419000026,60664.11395830009,2191.9865393000655,58472.127419000026,True,0,56806.59137009,1665.5360489100276,1.9953934997320175,4.0376736000180244,9.9384721997194,19.084814799949527,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-711.8725809999742,1480.1139583000913,53,109,0.3271604938271605,0.6728395061728395,0.0565,REPOSITORY_RAW_JSON,2074.762460293484
AT2020zso,i,40,58733.42484949995,60149.4699074002,1416.04505790025,58733.42484949995,True,0,56806.59137009,1926.83347940995,5.532494199927896,8.936979100108147,15.976087999995798,27.952078759949657,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-450.5751505000517,965.4699074001983,4,36,0.1,0.9,0.0565,REPOSITORY_RAW_JSON,1340.3171395175107
AT2020zso,r,232,58469.06981479982,60666.13548609987,2197.06567130005,58469.06981479982,True,0,56806.59137009,1662.478444709821,0.9914177998434752,2.9786457996815443,7.499218699987978,13.993807800114155,59184.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-714.9301852001809,1482.135486099869,68,164,0.29310344827586204,0.7068965517241379,0.0565,REPOSITORY_RAW_JSON,2079.5699681022716
