event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020wey,U.uvot,59150.586134,0.0,0.00025756,2.5282e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U.uvot,59154.259498,3.6733640000020387,0.00024998,1.8932e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U.uvot,59158.04933,7.463196000004245,0.00018612,1.7084e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U.uvot,59162.686637,12.100503000001481,0.00011339,1.3097e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U.uvot,59166.772488,16.18635400000494,4.6564e-05,1.1526e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U.uvot,59180.606532,30.02039800000057,4.4772e-06,8.0833e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
